id	sentiment	review
59	0	"Such social media could give us automatic access to some personal data saved by you (for example, contents viewed by the user, contents you like and information on the advertisments that have been shown to you or that you clicked on etc.)"
60	0	"Moreover, by logging in through your Facebook or Google account and based on your privacy settings on such social media, your profile picture will automatically become the photo associated with your Musixmatch account"
61	0	"Musixmatch will not save, copy or scan such photo."
62	0	"We also inform you that, by associating an account run by a social media website to your account and authorizing us to access such information, you accept that we could collect, use and save the data provided by these social media websites pursuant to this Policy."
63	0	We also might use plug-ins or other technologies from various social media websites
64	0	"If you click on a connection provided through a social media plug-in, a connection with the relevant social media is automatically established."
65	0	"External providers ¨C We rely on external providers to handle payments, for example when you purchase a service or subscribe to Musixmatch"
66	0	"In such case, service providers share with Musixmatch some payment data to help us handle them and ensure you receive a service compliant with the Terms and conditions of use."
67	0	"Websites and apps that use our services ¨C Musixmatch can also collect data during the user¡¯s visit to a website powered by any other company on behalf of Musixmatch, through automatic tools for data collection such as Web beacon, cookies and embedded web links"
68	0	"Those tools collect standard data on the web traffic the browser sends to the Musixmatch website, the browser¡¯s type and language, time of access and internet address from which the Musixmatch website was accessed"
69	0	"They can also collect data on the IP address, unique identification of the device used, clickstream behaviour (that is pages visited, links opened and other activities of the user on ¡°powered by¡± websites) and products"
70	0	"Musixmatch can also use some of those automatic tools for data collection through e-mails and communications from Musixmatch, collecting data when the user opens a message or clicks on a link in the message"
71	0	"For more information, please read our Cookie policy."
72	0	Use of data and processing legal framework
73	0	manage its activity and provide (with improvements and personalizations) the products it offers
74	0	"send communications, including commercial communications"
75	0	allow the display of advertisements on the Musixmatch webpages and within the apps downloaded for free by the user
76	0	Develop and enhance our services to ensure the content is shown in the most effective way for the user and the relevant device
77	0	Such processing is based on our legitimate interest that is providing the user with significant contents.
78	0	"Allow the user to participate in the Community¡¯s features offered by our services (develop contents, post comments, share topics)"
79	0	Such processing is required for the fulfilment of our contractual duties and is carried out with the user¡¯s consent.
80	0	Enable the personalization of the user profile
81	0	Such processing is carried out with the user¡¯s consent.
82	0	Fulfil our duties pursuant to any agreement entered into with the user and provide the information and services requested by the user
83	0	Such processing is based on the fulfilment of our contractual duties.
84	0	Inform the user of any change in our services
85	0	Such processing is carried out to ensure compliance with our legal duties and to ensure the exercise and defence of rights
86	0	"Send, pursuant to the applicable laws and, when required, with the user¡¯s consent, promotions and advices on our services which the user might be interested in"
87	0	Such processing is based on our legitimate interest (that is providing the user with significant advertisement) and/or the user¡¯s consent.
88	0	Enhance the services and their usage as well as understand the effectiveness of the advertisements we promote to users through the collection of data by means of cookies and similar technologies
89	0	Such processing is based on our legitimate interest (that is the optimization of our advertising campaigns¡¯ efficiency) and/or the prior consent of the user.
90	0	"Ensure compliance with any applicable law, the General terms and conditions and personal data protection regulations"
91	0	"Such processing is required to comply with our contractual duties and for the purposes of our legitimate interests, such as for administrative or legal purposes or for fraud detection purposes."
92	0	"The user¡¯s data will be lawfully and properly processed, adopting all necessary safety measures in order to prevent unauthorized accesses, distribution, changes or elimination of data"
93	0	"The processing is carried out through informatic and/or telematic tools, with organizational arrangements and logics that are strictly related to the stated purposes"
94	0	"In addition to the Data Controller, in some cases other authorized subjects involved in the organization and management of the service provided by Musixmatch (administrative personnel, system administrators etc.) or external subjects (as better described herebelow) might have access to data."
95	0	Who we share data with
96	0	"As you may know, some of the data that concern you are public but you can choose to make your account ¡°private¡±"
97	0	This means that the contents you insert will be visible to you but you will not be identified by the Community
98	0	Remember: that does not relieve you of the responsibilities associated with an improper use of our services!
99	0	"We could also share data that concern you with third parties such as service suppliers, commercial partners and advertisers but in some cases you will have the opportunity to voice your opinion such as with regard to the Advertisements you view."
100	0	"By way of example, the data the Community will be able to view if you do not opt for the private mode are:"
101	0	"your name, user name and profile pictures"
102	0	"the lyrics and translations you upload, your favourite lyrics, your interactions with the Community"
103	0	your comments in our Forum
104	0	The third parties we might share your data with are:
105	0	services suppliers who carry out services on our behalf and commercial partners who provide services and features
106	0	Third party¡¯s companies are bound by confidentiality agreements and do not have the authorization to use your data for other purposes than those communicated by Musixmatch.
107	0	"In order to ensure compliance with any applicable laws, in the event of assessed breaches of contractual provisions with us, to protect the rights, properties and safety of our company, our users or other parties, as well as to identify and solve safety problems."
108	0	third parties within a merger or acquisition
109	0	"Should Musixmatch be involved in a merger, asset sale, financing, winding up or bankruptcy procedure or purchase of all or part of its activities by another company, we could share data that concern you with such company before and after the transaction¡¯s closing."
110	0	"We could also share with third parties, such as advertisers, aggregate data which are non-personally identifiable or made anonymous"
111	0	"For more information on data collected by third parties within our services, please refer to the ¡°Advertisement¡± section."
112	0	"For us to be able to provide a free service, we could allow other companies to use cookies, web beacon and similar technologies within our Services"
113	0	Such companies could collect data on the conditions of use of our services over time and combine them with comparable data collected from other services and companies
114	0	"Such data could be used, among other things, to analyse and track data, determine the popularity of certain contents or better understand your online activities."
115	0	"Such parties can include their own Web beacon or Web beacon owned by third parties in advertisements visualized by Musixmatch in order to set and read their cookies, they can save cookies in the user¡¯s device as well as collect the user¡¯s online activities in relation to Websites and online services."
116	0	"By way of example, such companies are: AppNexus, Criteo, Oath, Mopub."
117	0	"The use of companies that are members of the Network Advertising Initiative (NAI), of the Digital Advertising Alliance (DAA) or of other equivalent organizations compliant with the NAI Code of conduct shall be preferred"
118	0	It is possible to access to the opt-out page managed by NAI by clicking on the following link: www.networkadvertising.org/choices/
119	0	Please remember that the opt-out option will not prevent you from seeing advertisements
120	0	"However, the advertisements offered by such companies will not be targeted on the basis of your web preferences anymore."
121	0	"For more information, please read our Cookie policy."
122	0	"When Musixmatch contains links to third-party contents, apps, services and/or advertisements, we are not responsible for the privacy policy or any matter relating to such products, promotions or advertisements of third parties, including the responsibility to control the personal data that it is possible to provide with regard to those products, promotions or advertisements"
123	0	We invite you to read the privacy policies of all the third-party websites you visit.
124	0	"Data retention, account deactivation and cancellation"
125	0	In any event the criteria used to determine the data retention period are based upon compliance with the terms allowed by any applicable laws and the principles of processing minimization and rational management of the archives.
126	0	When you delete your account we eliminate all data that concern you including public data and you will not be able to retrieve these data.
127	0	We will only keep data that are necessary to comply with legal obligations and for a period not longer than that required for such compliance.
128	0	"The user can exercise at any moment the rights set out in article 7 of the Privacy Code and in articles 15 and following of the GDPR, including the right to receive confirmation of the existence of personal data that concern him, to assess their content, accuracy, location (also with reference to any third Country), "
129	0	", to ask for the integration, update, correction and, when allowed by the applicable law, the restriction, cancellation, transformation in anonymous form or block for law infringement."
130	0	The user can also contact us if he believes that Musixmatch has not the right to use certain data of if he has doubts on how his data are processed or on this Policy.
131	0	Requests shall be addressed in writing to the Data Controller to the address set forth in paragraph 1 of this Policy.
132	0	The Services are not addressed to people under the age of 13
133	0	This explains why we do not consciously collect personal data from subjects under the age of 13.
134	0	"If you are less than 13 years old, do not use Musixmatch"
135	0	"If you are a parent or the guardian of a person under the age of 13, please do not allow such person to use Musixmatch."
136	0	Transfer of personal data
137	0	Musixmatch shares data at a global level with its partners and with the people that log-in and share contents all over the world.
138	0	"Data controlled by Musixmatch could be transferred, transmitted or stored also outside of the EEA but in the event of data transfers, Musixmatch uses standard Contractual clauses approved by the European Commission and based on adequacy decisions of the European Commission in relation to some Countries, depending on the cases, for the transfer of data from the EEA to the United States and other Countries."
139	0	Amendments to this Policy
140	0	We might amend this Policy from time to time
141	0	"In such event, we will inform you of the changes by updating the date on the top of the Policy, available on our website and in the mobile app, or by sending you additional notifications (for example, we could send you a notification or add a statement in the homepages of the websites)."
142	0	Become a Curator
143	0	Privacy PolicyCookie PolicyEULACopyright
144	0	e???e???  Made with love & passion in Italy  e???  Enjoyed everywhere
145	0	"We are currently working on changing all our games with the new version of the privacy policy, the most updated version is on this page"
146	0	"Effective date: May 23, 2018"
147	0	Aeria Canada Studio Inc
148	0	"(¡°us¡±, ¡°we¡±, or ¡°our¡±) operates the website and the mobile applications (the ¡°Service¡±)."
149	0	"This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Service and the choices you have associated with that data."
150	0	" By using the Service, you agree to the collection and use of information in accordance with this policy"
151	0	"Unless otherwise defined in this Privacy Policy, terms used in this Privacy Policy have the same meanings as in our Terms and Conditions."
152	0	  Definitions
153	0	Service means the website and its mobile applications operated by Aeria Canada Studio Inc.
154	0	Personal Data means data about a living individual who can be identified from those data (or from those and other information either in our possession or likely to come into our possession).
155	0	"Usage Data is data collected automatically either generated by the use of the Service or from the Service infrastructure itself (for example, the duration of a page visit)."
156	0	Cookies are small pieces of data stored on your device (computer or mobile device).
157	0	  Data Controller
158	0	"Data Controller means the natural or legal person who (either alone or jointly or in common with other persons) determines the purposes for which and the manner in which any personal information are, or are to be, processed."
159	0	"For the purpose of this Privacy Policy, we are a Data Controller of your Personal Data."
160	0	Data Processors (or Service Providers)
161	0	Data Processor (or Service Provider) means any natural or legal person who processes the data on behalf of the Data Controller.
162	0	We may use the services of various Service Providers in order to process your data more effectively.
163	0	Data Subject (or User)
164	0	Data Subject is any living individual who is using our Service and is the subject of Personal Data.
165	0	  Information Collection and Use
166	0	We collect several different types of information for various purposes to provide and improve our Service to you.
167	0	  Types of Data Collected
168	0	"While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (¡°Personal Data¡±)"
169	0	"Personally identifiable information may include, but is not limited to:"
170	0	  We may also collect information that your browser sends whenever you visit our Service or when you access the Service by or through a mobile device (¡°Usage Data¡±).
171	0	This Usage Data may include information such as your computer¡¯s Internet Protocol address (e.g
172	0	"IP address), browser type, browser version, the pages of our Service that you visit, the time and date of your visit, the time spent on those pages, unique device identifiers and other diagnostic data."
173	0	"When you access the Service by or through a mobile device, this Usage Data may include information such as the type of mobile device you use, your mobile device unique ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browser you use, unique device identifiers and other diagnostic data."
174	0	  Location Data
175	0	We may use and store information about your location if you give us permission to do so (¡°Location Data¡±)
176	0	"We use this data to provide features of our Service, to improve and customize our Service."
177	0	"You can enable or disable location services when you use our Service at any time, through your device settings."
178	0	  Tracking & Cookies Data
179	0	We use cookies and similar tracking technologies to track the activity on our Service and hold certain information.
180	0	Cookies are files with small amount of data which may include an anonymous unique identifier
181	0	Cookies are sent to your browser from a website and stored on your device
182	0	"Tracking technologies also used are beacons, tags, and scripts to collect and track information and to improve and analyze our Service."
183	0	You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent
184	0	"However, if you do not accept cookies, you may not be able to use some portions of our Service."
185	0	  Examples of Cookies we use:
186	0	We use Session Cookies to operate our Service.
187	0	We use Preference Cookies to remember your preferences and various settings.
188	0	We use Security Cookies for security purposes.
189	0	Advertising Cookies are used to serve you with advertisements that may be relevant to you and your interests.
190	0	  Use of Data
191	0	To provide and maintain our Service
192	0	To notify you about changes to our Service
193	0	To allow you to participate in interactive features of our Service when you choose to do so
194	0	To provide customer support
195	0	To monitor the usage of our Service
196	0	"To detect, prevent and address technical issues"
197	0	Legal Basis for Processing Personal Data Under General Data Protection Regulation (GDPR)
198	0	"If you are from the European Economic Area (EEA), Aeria Canada Studio Inc"
199	0	legal basis for collecting and using the personal information described in this Privacy Policy depends on the Personal Data we collect and the specific context in which we collect it.
200	0	  Aeria Canada Studio Inc
201	0	may process your Personal Data because:
202	0	We need to perform a contract with you
203	0	You have given us permission to do so
204	0	The processing is in our legitimate interests and it¡¯s not overridden by your rights
205	0	For payment processing purposes
206	0	To comply with the law
207	0	  Retention of Data
208	0	Aeria Canada Studio Inc
209	0	will also retain Usage Data for internal analysis purposes
210	0	  Transfer of Data
211	0	"Your information, including Personal Data, may be transferred to ¡ª and maintained on ¡ª computers located outside of your state, province, country or other governmental jurisdiction where the data protection laws may differ than those from your jurisdiction."
212	0	"If you are located outside Canada and choose to provide information to us, please note that we transfer the data, including Personal Data, to Canada and process it there."
213	0	Your consent to this Privacy Policy followed by your submission of such information represents your agreement to that transfer.
214	0	Aeria Canada Studio Inc
215	0	will take all steps reasonably necessary to ensure that your data is treated securely and in accordance with this Privacy Policy and no transfer of your Personal Data will take place to an organization or a country unless there are adequate controls in place including the security of your data and other personal information.
216	0	  Disclosure of Data
217	0	Disclosure for Law Enforcement
218	0	"Under certain circumstances, Aeria Canada Studio Inc"
219	0	may be required to disclose your Personal Data if required to do so by law or in response to valid requests by public authorities (e.g
220	0	a court or a government agency).
221	0	  Legal Requirements
222	0	Aeria Canada Studio Inc
223	0	may disclose your Personal Data in the good faith belief that such action is necessary to:
224	0	To comply with a legal obligation
225	0	To protect and defend the rights or property of Aeria Canada Studio Inc.
226	0	To prevent or investigate possible wrongdoing in connection with the Service
227	0	To protect the personal safety of users of the Service or the public
228	0	To protect against legal liability
229	0	  Security of Data
230	0	"The security of your data is important to us, but remember that no method of transmission over the Internet, or method of electronic storage is 100% secure"
231	0	"While we strive to use commercially acceptable means to protect your Personal Data, we cannot guarantee its absolute security."
232	0	  ¡°Do Not Track¡± Signals
233	0	We do not support Do Not Track (¡°DNT¡±)
234	0	Do Not Track is a preference you can set in your web browser to inform websites that you do not want to be tracked.
235	0	You can enable or disable Do Not Track by visiting the Preferences or Settings page of your web browser.
236	0	Your Data Protection Rights Under General Data Protection Regulation (GDPR)
237	0	"If you are a resident of the European Economic Area (EEA), you have certain data protection rights"
238	0	Aeria Canada Studio Inc
239	0	"aims to take reasonable steps to allow you to correct, amend, delete, or limit the use of your Personal Data."
240	0	"If you wish to be informed what Personal Data we hold about you and if you want it to be removed from our systems, please contact us."
241	0	"  In certain circumstances, you have the following data protection rights:"
242	0	" If you are unable to perform these actions yourself, please contact us to assist you."
243	0	The right to withdraw consent
244	0	You also have the right to withdraw your consent at any time where Aeria Canada Studio Inc
245	0	relied on your consent to process your personal information.
246	0	Please note that we may ask you to verify your identity before responding to such requests.
247	0	" For more information, please contact your local data protection authority in the European Economic Area (EEA)."
248	0	  Service Providers
249	0	"We may employ third party companies and individuals to facilitate our Service (¡°Service Providers¡±), to provide the Service on our behalf, to perform Service-related services or to assist us in analyzing how our Service is used."
250	0	These third parties have access to your Personal Data only to perform these tasks on our behalf and are obligated not to disclose or use it for any other purpose.
251	0	  Analytics
252	0	We may use third-party Service Providers to monitor and analyze the use of our Service.
253	0	"We use Unity Analytics provided by Unity, Inc"
254	0	to monitor and analyze the use of our Service.
255	0	"For more information on the privacy practices and policies of Unity, please visit the Unity Privacy Policy: https://unity3d.com/legal/privacy-policy"
256	0	"Appodeal is provided by Appodeal, Inc."
257	0	You can opt-out from Appodeal service by following the instructions as described on the Appodeal Opt-out page: https://www.appodeal.com/home/sdk-opt-out/
258	0	"For more information on the privacy practices and policies of Appodeal, please visit the Appodeal Privacy Policy: https://www.appodeal.com/home/privacy-policy/"
259	0	Google Analytics is a web analytics service offered by Google that tracks and reports website traffic
260	0	Google uses the data collected to track and monitor the use of our Service
261	0	This data is shared with other Google services
262	0	Google may use the collected data to contextualize and personalize the ads of its own advertising network.
263	0	"For more information on the privacy practices of Google, please visit the Google Privacy & Terms web page: https://policies.google.com/privacy?hl=en"
264	0	  Advertising
265	0	We may use third-party Service Providers to show advertisements to you to help support and maintain our Service.
266	0	  AdMob by Google
267	0	AdMob by Google is provided by Google Inc.
268	0	You can opt-out from AdMob by Google service by following the instructions described by Google: https://support.google.com/ads/answer/2662922?hl=en
269	0	"For more information on how Google uses the collected information, please visit the ¡°How Google uses data when you use our partners¡¯ sites or app¡± page: http://www.google.com/policies/privacy/partners/ or visit the Privacy Policy of Google: http://www.google.com/policies/privacy/"
270	0	  InMobi
271	0	InMobi is provided by InMobi Pte Ltd.
272	0	You can opt-out from InMobi service by following the instructions as described on the InMobi Opt-out page: http://www.inmobi.com/page/opt-out/
273	0	"For more information on the privacy practices and policies of InMobi, please visit the InMobi Privacy Policy: http://www.inmobi.com/privacy-policy/"
274	0	  MoPub
275	0	"MoPub is provided by MobPub, Inc."
276	0	You can opt-out from MobPub service by following the instructions on MoPub Opt-out page: http://www.mopub.com/optout/
277	0	"For more information on what information MobPub collects and how it¡¯s used, please read MoPub Privacy Policy: http://www.mopub.com/legal/privacy/"
278	0	  AdColony
279	0	"AdColony is provided by Jirbo, Inc."
280	0	You can opt-out from AdColony service by visiting the AdColony Opt-out page: http://www.adcolony.com/privacy-policy/opt-out/
281	0	You can also opt-out from AdColony through the Digital Advertising Alliance in the USA http://www.aboutads.info/choices/ or opt-out using your mobile device settings.
282	0	"For more information AdColony, please visit the Privacy Policy of AdColony: http://www.adcolony.com/privacy-policy/"
283	0	  AppLovin
284	0	AppLovin is provided by the AppLovin Corporation.
285	0	"If you¡¯d like to opt-out from AppLovin service, please visit the AppLovin Opt-out page: https://www.applovin.com/optout"
286	0	"If you¡¯d like to learn more about AppLovin, please visit the Privacy Policy page of AppLovin: https://www.applovin.com/privacy"
287	0	  Vungle
288	0	"Vungle is provided by Vungle, Inc."
289	0	You can opt-out from Vungle service by following the instructions as described by Vungle on their Privacy Policy page: http://vungle.com/privacy/
290	0	"For more information about Vungle, please visit Vungle Privacy Policy: http://vungle.com/privacy/"
291	0	  Payments
292	0	We may provide paid products and/or services within the Service
293	0	"In that case, we use third-party services for payment processing (e.g"
294	0	We will not store or collect your payment card details
295	0	That information is provided directly to our third-party payment processors whose use of your personal information is governed by their Privacy Policy
296	0	"These payment processors adhere to the standards set by PCI-DSS as managed by the PCI Security Standards Council, which is a joint effort of brands like Visa, Mastercard, American Express and Discover"
297	0	PCI-DSS requirements help ensure the secure handling of payment information.
298	0	  The payment processors we work with are:
299	0	  Apple Store In-App Payments
300	0	Their Privacy Policy can be viewed at https://www.apple.com/legal/privacy/en-ww/
301	0	  Google Play In-App Payments
302	0	Their Privacy Policy can be viewed at https://www.google.com/policies/privacy/
303	0	  Links to Other Sites
304	0	Our Service may contain links to other sites that are not operated by us
305	0	"If you click on a third party link, you will be directed to that third party¡¯s site"
306	0	We strongly advise you to review the Privacy Policy of every site you visit.
307	0	"We have no control over and assume no responsibility for the content, privacy policies or practices of any third party sites or services."
308	0	  Children¡¯s Privacy
309	0	Our Service does not address anyone under the age of 18 (¡°Children¡±).
310	0	"If you are a parent or guardian and you are aware that your child has provided us with Personal Data, please contact us"
311	0	"If we become aware that we have collected Personal Data from children without verification of parental consent, we take steps to remove that information from our servers."
312	0	  Changes to This Privacy Policy
313	0	We may update our Privacy Policy from time to time
314	0	We will notify you of any changes by posting the new Privacy Policy on this page.
315	0	"We will let you know via email and/or a prominent notice on our Service, prior to the change becoming effective and update the ¡°effective date¡± at the top of this Privacy Policy."
316	0	You are advised to review this Privacy Policy periodically for any changes
317	0	Changes to this Privacy Policy are effective when they are posted on this page.
318	0	  Contact Us
319	0	By email: privacy@aeriacanada.com
320	0	"This Privacy Policy aims to give you information on how BUNKERim Studio collects and processes your Personal Data through your use of this apps, including any data you may provide through this app."
321	0	We will update any modifications or changes to this Privacy Policy on this document.
322	0	Who we are
323	0	BUNKERim Studio its own apps for mobile devices
324	0	"In this privacy policy BUNKERim Studio referred to as either ¡°we¡±, ¡°us¡± or ¡°our¡±."
325	0	"Our address is:  278, hungDuk gu Saunro, Cheong-Ju City, South Korea"
326	0	how to contact us
327	0	Information Collection and Use
328	0	" However, third party Ad Networks included in the app, may collect, and may associate information with, mobile advertising IDs (such as iOS Advertising Identifiers and Google¡¯s Advertising IDs) on your device"
329	0	These are unique identifiers (which are resettable) set by the applicable mobile operating system provider (¡° Mobile Advertising IDs ¡±)
330	0	We provide access to our apps third party Ad Networks and they will directly collect and process information via the cookies and other tracking technologies
331	0	This is so Ad Networks can serve you with content that is tailored to your preferences
332	0	Ad Networks are controllers of the Personal Data that is collected in that way (i.e
333	0	"they decide of the purposes and means of processing such data, independently of our instructions)"
334	0	"For more information on such Ad Networks¡¯ collection and processing of your Personal Data, please see the relevant Ad Networks¡¯ privacy policies."
335	0	Link to privacy policy of third party service providers used by the app
336	0	  Our policy on children.
337	0	"LAST UPDATED: MAY 8, 2019"
338	0	WHO WE ARE
339	0	"We are Beingame Limited located at Diagorou 4, Kermia Building, office 204, 1097 Nicosia, Cyprus."
340	0	This Privacy Policy sets out how we collect and use your personal information when you download our games from digital distribution services and the choices available to you in connection with our use of your personal information (the Privacy Policy).
341	0	"This Privacy Policy should be read alongside, and in addition to, our terms and conditions at http://beingame-mobile.com/terms-of-use.htm (Terms)"
342	0	"In case of any contradictions between this Privacy Policy and the Terms, this Privacy Policy will prevail."
343	0	THIS PRIVACY POLICY
344	0	"By making available the Services we, acting reasonably and in good faith, believe that you:"
345	0	(a) have all necessary rights to register on and use the Services;
346	0	(b) provide true information about yourself  to the extent necessary for use of the Services;
347	0	"(c) understand that by the posting your personal information, if there is such technical  possibility in the Services and where it is accessible by other users of the Services, you have manifestly made this information public;"
348	0	(d) are aware of and accept this Privacy Policy.
349	0	"We do not check the user information received from you, except where such check is necessary in order for us to fulfill our obligations to you."
350	0	INFORMATION WE COLLECT ABOUT YOU
351	0	"In order to implement the agreement between you and us, and provide you with access to the use of the Services, we will improve, develop and implement new features to our Services, and enhance the available Services functionality"
352	0	"To achieve these objectives, and in compliance with applicable laws, we will collect, store, aggregate, organise, extract, compare, use, and supplement your data (hereinafter ¡°processing¡±)"
353	0	"We will also receive and pass this data, and our automatically processed analyses of this data to our affiliates and partners as set out in the table below and section 4 of this Privacy Policy."
354	0	"We set out in more detail the information we collect when you use our Services, why we collect and process it and the legal bases below."
355	0	  Information Collected Purpose Legal Basis
356	0	See section 8.3 of this Privacy Policy for more information.
357	0	Performance of our contract with you
358	0	 We may take additional verification steps where we consider reasonable in order to verify your account
359	0	"For example, we use this information to verify your identity if you lose your credentials and wish to access your account with us"
360	0	 Legitimate interests
361	0	Performance of our contract with you
362	0	5 Information that is created by you while using the Services (if there is such technical  possibility in the Services) this information can be available to some or all other users of our Services
363	0	" Legitimate interests, which inter alia, include the processing of manifestly made public by you data where it is accessible by other users of the Services"
364	0	  Performance of our contract with you
365	0	"6 Information that is obtained by the ¡°Main¡± account from your ¡°extra¡± accounts such as Information that is received as the result of your behavioral actions when using the Services, that is received as the result of your using payment functionality of the Services (e.g"
366	0	"first and last four digits of your card number that are required in order to match these details with your account), etc"
367	0	" Legitimate interests, which inter alia, include the processing of manifestly made public by you data where it is accessible by other users of the Services"
368	0	  Performance of our contract with you
369	0	7 Information that is created by you while placing requests to our Services support 
370	0	 Legitimate interests
371	0	Performance of our contract with you
372	0	 Legitimate interests
373	0	Performance of our contract with you
374	0	"Our legitimate interests include  (1) maintaining and administrating the Services; (2) providing the Services to you; (3) improving the content of the Services and web pages; (4) processing of the data that was manifestly made public by you where it is accessible by other users of the Services; (5) ensuring your account is adequately protected; and (6) compliance with any contractual, legal or regulatory obligations under any applicable law."
375	0	As part of maintaining and administrating the Services we use the information to analyse user activity and ensure that rules and terms of use for the Services are not violated.
376	0	We will not delete personal information if it is relevant to an investigation or a dispute
377	0	It will continue to be stored until those issues are fully resolved and/or during the term that is required and/or permissible under applicable/relevant law.
378	0	"Please note, if you do not want us to process sensitive and special categories of data about you (including data relating to your health, racial or ethnic origin, political opinion, religious or philosophical beliefs, sex life, and your sexual orientation) you should take care not to post this information or share this data."
379	0	"Please note, if you withdraw your consent to processing or you do not provide the data that we require in order to maintain and administer the Services, you may not be able to access the Services."
380	0	"If we intend to further process your data for any other purpose to those set out in this Privacy Policy, we shall provide you with details of this further purpose before we commence processing."
381	0	We take technical and organizational measures to ensure that your data is safe
382	0	"Please note that by the posting your personal information (if there is such technical  possibility in the Services and where it is accessible by other users of the Services) you have manifestly made this information public, and this may become available to other Service users and internet users and be copied and/ or disseminated by such users."
383	0	"Sometimes we may also need to share your data with a third party in order to provide our Services to you or to administer the Services, for example if you choose to share your data across other social media platforms."
384	0	We may also share your data with our third party contractors and application developers provided these third parties assume confidentiality obligations regarding your personal data collected by your use of the applications they offer
385	0	 The developers use the information provided to them in order to provide you with additional services
386	0	Data will only be shared with these developers with your consent
387	0	You can authorize developers to access your information via our products.
388	0	Our ad management and recommendation system is designed so that your information will not be shared directly with our third party advertisers
